id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
224,275578,R,Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,2,108,30/06/2019,1.09,1,201
225,276291,Simon,Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,3,222,26/06/2019,2.1,2,232
226,277379,Agnes,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,03/07/2019,4.58,2,258
227,277394,Linda,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,17/05/2019,0.26,1,272
228,279797,Dave,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,08/05/2019,0.3,1,341
229,282927,Drica,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,02/01/2019,0.39,1,244
230,204539,Mark,Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,140,14,1,17/09/2012,0.01,5,365
231,274782,Betty,Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,2,69,19/05/2019,0.67,1,12
232,186084,Ricardo & Ashlie,Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,01/07/2019,0.18,2,265
233,288031,Leslie,Manhattan,Midtown,40.7589,-73.96991,Entire home/apt,250,30,82,05/01/2016,0.78,1,0
234,289653,Harrison,Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,94,23/06/2019,0.99,1,329
235,99212,Jessica,Manhattan,Greenwich Village,40.73194,-73.99474,Entire home/apt,225,5,10,11/05/2019,0.1,1,91
236,292204,Blanca,Manhattan,East Harlem,40.79163,-73.94573,Entire home/apt,125,28,183,29/09/2018,1.83,2,365
237,256161,Wayne,Manhattan,Harlem,40.8118,-73.94434,Private room,92,1,189,11/06/2019,1.82,5,253
238,249372,Cynthia,Manhattan,Harlem,40.81583,-73.94707,Private room,175,2,1,07/10/2018,0.11,1,365
239,292630,Mich,Manhattan,East Village,40.72654,-73.98049,Entire home/apt,99,2,127,20/06/2019,1.22,1,320
240,293394,Rachel,Manhattan,Upper West Side,40.80021,-73.96071,Entire home/apt,195,4,4,25/08/2017,0.04,1,0
241,126607,Laurine,Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,140,3,135,20/06/2019,1.3,3,192
242,295760,Greta,Manhattan,Little Italy,40.71961,-73.9954,Entire home/apt,135,2,21,12/12/2015,0.2,1,0
243,291112,Frank,Manhattan,Chelsea,40.74358,-74.00027,Entire home/apt,500,2,35,27/07/2017,0.34,1,348
244,297176,Bethania,Manhattan,Harlem,40.80335,-73.9575,Private room,80,14,10,01/06/2019,2.21,2,0
245,297769,Tunji,Manhattan,Chinatown,40.71445,-73.9908,Private room,120,4,171,23/06/2019,1.8,2,353
246,23619,Anna/Fonzy,Manhattan,Midtown,40.75749,-73.96897,Entire home/apt,110,200,92,30/04/2019,0.9,1,140
247,281764,Colette&Sean,Brooklyn,East Flatbush,40.64446,-73.9503,Entire home/apt,65,3,238,14/06/2019,2.3,1,2
248,303882,Brie,Manhattan,East Village,40.7268,-73.99079,Entire home/apt,130,50,56,26/05/2019,0.58,1,56
249,197755,Sheila,Brooklyn,Bushwick,40.688,-73.9171,Entire home/apt,99,3,111,22/06/2019,2.13,1,68
250,303939,Lissette,Staten Island,Tompkinsville,40.63536,-74.08537,Private room,36,2,193,25/06/2019,1.85,6,360
251,303939,Lissette,Staten Island,Tompkinsville,40.63627,-74.08543,Private room,37,2,147,10/06/2019,1.44,6,0
252,303939,Lissette,Staten Island,Tompkinsville,40.63518,-74.08546,Private room,37,2,177,02/07/2019,1.71,6,320
253,306545,Olivia,Manhattan,East Village,40.72477,-73.98161,Entire home/apt,175,3,185,24/05/2019,1.78,2,326
254,306605,Daniel,Manhattan,Chelsea,40.74238,-73.99567,Entire home/apt,205,9,62,21/06/2019,0.7,2,76
255,306739,Maya,Brooklyn,Greenpoint,40.72945,-73.95511,Entire home/apt,285,3,124,16/06/2019,1.22,3,279
256,308875,Scott,Brooklyn,Williamsburg,40.70763,-73.95177,Private room,59,2,181,23/06/2019,1.77,2,15
257,303939,Lissette,Staten Island,Tompkinsville,40.63481,-74.08519,Private room,36,2,333,02/07/2019,3.19,6,340
258,307962,Dennis & Naoko,Queens,Astoria,40.75384,-73.91433,Entire home/apt,99,5,441,24/06/2019,4.5,1,226
259,308652,Antonín,Brooklyn,Kensington,40.64106,-73.97426,Private room,39,1,45,16/05/2019,0.46,2,365
260,310458,Emily,Brooklyn,Park Slope,40.66793,-73.98327,Private room,60,14,9,29/08/2016,0.09,2,0
261,295128,Carol Gloria,Bronx,Clason Point,40.81309,-73.85514,Private room,90,2,0,,,7,349
262,310670,Vie,Bronx,Eastchester,40.88057,-73.83572,Entire home/apt,105,2,38,27/06/2019,0.5,13,365
263,170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314,Entire home/apt,135,2,248,25/06/2019,2.39,2,11
264,306545,Olivia,Manhattan,East Village,40.72185,-73.98246,Entire home/apt,390,5,143,19/06/2019,1.38,2,316
265,311286,Helene,Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385,Private room,70,3,36,19/08/2018,0.41,4,281
266,312288,Paula,Manhattan,Inwood,40.86648,-73.9263,Private room,75,7,0,,,2,323
267,312722,Kristian & Di,Brooklyn,Williamsburg,40.7069,-73.95467,Private room,60,17,14,07/01/2019,0.14,4,362
268,146944,David,Manhattan,East Village,40.72807,-73.98594,Entire home/apt,200,3,0,,,1,0
