id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
97,42032,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,07/07/2019,0.71,1,198
98,82685,Elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,09/10/2018,0.11,1,365
99,83257,Olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,01/05/2019,0.27,2,364
100,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,28/10/2018,1.23,2,311
101,32294,Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,03/01/2019,0.87,3,219
102,11481,Annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,24/06/2019,2.09,3,342
103,63318,Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,01/11/2012,0.6,1,312
104,93790,Ann,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,18/05/2019,0.55,2,243
105,97219,Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,29/05/2019,3.02,1,152
106,97797,Brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,02/11/2018,0.79,1,9
107,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,28/06/2019,1.46,2,137
108,105538,Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,26/05/2018,0.4,1,222
109,107628,Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,23/06/2019,1.61,1,346
110,109589,Jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,17/03/2017,0.2,1,208
111,59734,Luiz,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,16/06/2019,3,2,279
112,51038,Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,02/06/2019,0.2,6,250
113,112793,Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,11/12/2017,0.13,1,164
114,42273,Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,30/12/2018,4.22,2,192
115,72062,Bruce,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,09/08/2017,0.06,4,298
116,115157,Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,02/12/2015,0.38,1,260
117,115307,Alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,23/06/2019,3.01,1,107
118,115560,Stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,27/04/2019,0.27,1,199
119,72062,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,07/06/2019,1.05,4,299
120,118971,Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,20/05/2019,3.2,3,20
121,119510,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,01/07/2019,2.03,1,318
122,119588,Vero,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,30/12/2018,0.24,2,216
123,119900,Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,26/06/2019,0.12,1,224
124,120223,Jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,10/12/2011,0.23,1,0
125,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,05/10/2018,0.08,1,324
126,6197784,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,18/09/2011,0.08,1,245
127,124352,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,15/08/2017,0.19,1,189
128,124797,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,17/08/2017,0.33,1,307
129,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,14/05/2019,0.58,2,310
130,126607,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,20/06/2019,1.42,3,213
